2013-01-01T00:15:00.000Z,147.156,63.0,1
2013-01-01T00:15:00.000Z,159.170,4.5,2
2013-01-01T00:15:00.000Z,162.150,2.25,3
2013-01-01T00:15:00.000Z,163.159,1.3833333333333335,4
2013-01-01T00:30:00.000Z,147.162,72.0,1
2013-01-01T00:30:00.000Z,169.160,25.5,2
2013-01-01T00:30:00.000Z,167.161,15.5,3
2013-01-01T00:30:00.000Z,152.170,14.5,4
2013-01-01T00:30:00.000Z,155.152,12.620000000000001,5
2013-01-01T00:30:00.000Z,150.171,11.5,6
2013-01-01T00:30:00.000Z,162.172,11.5,7
2013-01-01T00:30:00.000Z,174.157,11.5,8
2013-01-01T00:30:00.000Z,155.175,10.9,9
2013-01-01T00:30:00.000Z,160.177,10.9,10
2013-01-01T00:45:00.000Z,146.162,62.0,1
2013-01-01T00:45:00.000Z,158.147,21.5,2
2013-01-01T00:45:00.000Z,162.155,21.5,3
2013-01-01T00:45:00.000Z,157.169,18.7,4
2013-01-01T00:45:00.000Z,155.170,18.0,5
2013-01-01T00:45:00.000Z,174.156,13.75,6
2013-01-01T00:45:00.000Z,153.172,13.5,7
2013-01-01T00:45:00.000Z,149.169,12.5,8
2013-01-01T00:45:00.000Z,178.167,12.0,9
2013-01-01T00:45:00.000Z,161.171,11.5,10
2013-01-01T01:00:00.000Z,144.169,63.0,1
2013-01-01T01:00:00.000Z,174.156,25.0,2
2013-01-01T01:00:00.000Z,161.166,18.7,3
2013-01-01T01:00:00.000Z,158.147,16.5,4
2013-01-01T01:00:00.000Z,162.167,15.0,5
2013-01-01T01:00:00.000Z,163.171,14.5,6
2013-01-01T01:00:00.000Z,159.146,13.5,7
2013-01-01T01:00:00.000Z,160.162,13.5,8
2013-01-01T01:00:00.000Z,173.161,13.5,9
2013-01-01T01:00:00.000Z,160.177,13.3,10
2013-01-01T01:15:00.000Z,166.175,13.25,1
2013-01-01T01:15:00.000Z,174.156,11.85,2
2013-01-01T01:15:00.000Z,161.179,10.55,3
2013-01-01T01:15:00.000Z,160.149,10.0,4
2013-01-01T01:15:00.000Z,156.156,8.6,5
2013-01-01T01:15:00.000Z,166.171,8.5,6
2013-01-01T01:15:00.000Z,160.162,8.5,7
2013-01-01T01:15:00.000Z,151.161,8.5,8
2013-01-01T01:15:00.000Z,165.171,5.0,9
2013-01-01T01:15:00.000Z,158.176,4.666666666666667,10
2013-01-01T01:30:00.000Z,146.161,55.0,1
2013-01-01T01:30:00.000Z,146.169,34.8,2
2013-01-01T01:30:00.000Z,184.180,31.2,3
2013-01-01T01:30:00.000Z,152.181,22.9,4
2013-01-01T01:30:00.000Z,157.163,16.5,5
