155.160->155.160,7,1,2013-01-01T00:30:00.000Z
157.158->156.161,7,2,2013-01-01T00:30:00.000Z
154.162->154.162,6,3,2013-01-01T00:30:00.000Z
158.156->160.153,5,4,2013-01-01T00:30:00.000Z
156.158->156.161,5,5,2013-01-01T00:30:00.000Z
155.162->155.162,5,6,2013-01-01T00:30:00.000Z
152.164->154.165,5,7,2013-01-01T00:30:00.000Z
154.163->154.162,5,8,2013-01-01T00:30:00.000Z
155.162->156.161,5,9,2013-01-01T00:30:00.000Z
157.158->156.160,5,10,2013-01-01T00:30:00.000Z
153.161->153.161,10,1,2013-01-01T01:00:00.000Z
154.162->154.162,9,2,2013-01-01T01:00:00.000Z
155.162->155.162,9,3,2013-01-01T01:00:00.000Z
157.160->155.162,8,4,2013-01-01T01:00:00.000Z
157.160->157.160,8,5,2013-01-01T01:00:00.000Z
155.162->154.161,7,6,2013-01-01T01:00:00.000Z
157.158->156.160,7,7,2013-01-01T01:00:00.000Z
155.163->156.162,7,8,2013-01-01T01:00:00.000Z
154.163->154.163,7,9,2013-01-01T01:00:00.000Z
154.165->156.161,7,10,2013-01-01T01:00:00.000Z
157.160->156.162,6,1,2013-01-01T01:30:00.000Z
155.162->155.162,5,2,2013-01-01T01:30:00.000Z
156.162->155.162,5,3,2013-01-01T01:30:00.000Z
154.168->151.163,5,4,2013-01-01T01:30:00.000Z
160.156->161.155,5,5,2013-01-01T01:30:00.000Z
158.159->154.161,5,6,2013-01-01T01:30:00.000Z
156.162->156.161,5,7,2013-01-01T01:30:00.000Z
156.161->156.161,5,8,2013-01-01T01:30:00.000Z
158.159->156.162,5,9,2013-01-01T01:30:00.000Z
153.159->156.161,5,10,2013-01-01T01:30:00.000Z
160.155->159.157,11,1,2013-01-01T02:00:00.000Z
158.159->156.162,10,2,2013-01-01T02:00:00.000Z
155.164->154.166,10,3,2013-01-01T02:00:00.000Z
156.160->154.161,8,4,2013-01-01T02:00:00.000Z
157.160->156.161,7,5,2013-01-01T02:00:00.000Z
158.159->154.161,7,6,2013-01-01T02:00:00.000Z
157.160->156.162,7,7,2013-01-01T02:00:00.000Z
157.158->158.159,6,8,2013-01-01T02:00:00.000Z
155.164->156.162,6,9,2013-01-01T02:00:00.000Z
154.167->154.161,6,10,2013-01-01T02:00:00.000Z
157.160->156.162,8,1,2013-01-01T02:30:00.000Z
158.159->158.159,8,2,2013-01-01T02:30:00.000Z
156.162->154.161,8,3,2013-01-01T02:30:00.000Z
157.159->157.159,7,4,2013-01-01T02:30:00.000Z
160.155->156.162,7,5,2013-01-01T02:30:00.000Z
158.159->154.161,7,6,2013-01-01T02:30:00.000Z
160.155->156.152,7,7,2013-01-01T02:30:00.000Z
157.159->156.161,7,8,2013-01-01T02:30:00.000Z
158.159->160.156,7,9,2013-01-01T02:30:00.000Z
156.162->157.160,6,10,2013-01-01T02:30:00.000Z
158.159->159.158,10,1,2013-01-01T03:00:00.000Z
157.160->156.162,8,2,2013-01-01T03:00:00.000Z
156.162->154.161,8,3,2013-01-01T03:00:00.000Z
158.159->156.162,7,4,2013-01-01T03:00:00.000Z
156.160->156.162,7,5,2013-01-01T03:00:00.000Z
153.157->154.161,6,6,2013-01-01T03:00:00.000Z
158.159->160.156,6,7,2013-01-01T03:00:00.000Z
158.159->158.159,6,8,2013-01-01T03:00:00.000Z
160.155->159.157,6,9,2013-01-01T03:00:00.000Z
157.160->154.161,6,10,2013-01-01T03:00:00.000Z
160.154->161.155,10,1,2013-01-01T03:30:00.000Z
156.160->160.156,9,2,2013-01-01T03:30:00.000Z
158.159->156.162,9,3,2013-01-01T03:30:00.000Z
